label,image_name,mean_R,std_R,mean_G,std_G,mean_B,std_B,mean_ExG
agricultural,agricultural_000001.png,0.24871773,0.22565113,0.27369726,0.2371557,0.24184145,0.21370979,14.493011
agricultural,agricultural_000002.png,0.5243929,0.3000703,0.558319,0.31620717,0.52751184,0.29639104,16.506973
agricultural,agricultural_000003.png,0.7628237,0.08387424,0.7860116,0.06906454,0.7690606,0.062310122,10.235397
agricultural,agricultural_000004.png,0.5353337,0.23494014,0.5394231,0.20969398,0.56250083,0.19777058,-4.8420258
agricultural,agricultural_000005.png,0.4213593,0.2695507,0.3389214,0.21620338,0.34930965,0.22069153,-23.67067
agricultural,agricultural_000006.png,0.6628787,0.19214344,0.6525814,0.19105408,0.6950423,0.20149644,-13.453369
agricultural,agricultural_000007.png,0.4519855,0.35730457,0.46465394,0.3701542,0.4656092,0.36743653,2.9868622
agricultural,agricultural_000008.png,0.562559,0.31590047,0.60742795,0.33552182,0.5609938,0.31813636,23.282303
agricultural,agricultural_000009.png,0.49603343,0.16798395,0.54736036,0.16146718,0.51801425,0.16775963,20.571625
agricultural,agricultural_000010.png,0.30327925,0.17838544,0.26682046,0.1445081,0.29670453,0.16609272,-16.917435
agricultural,agricultural_000011.png,0.5750695,0.21756455,0.5761397,0.21742085,0.5774585,0.21738218,-0.06340027
agricultural,agricultural_000012.png,0.42075607,0.24069937,0.47037113,0.26800376,0.48261887,0.27721697,9.528671
agricultural,agricultural_000013.png,0.5346613,0.28587064,0.52117044,0.28236857,0.5077364,0.27656144,-0.014465332
agricultural,agricultural_000014.png,0.72935736,0.06145532,0.82431084,0.088672616,0.7768218,0.076640815,36.322845
agricultural,agricultural_000015.png,0.35518357,0.18465322,0.36483362,0.1867,0.4561007,0.23289856,-20.812332
agricultural,agricultural_000016.png,0.5940651,0.23995848,0.63834506,0.2578337,0.61095273,0.24732992,18.276413
agricultural,agricultural_000017.png,0.30539748,0.15502788,0.3702367,0.18600136,0.3291401,0.16732103,27.013626
agricultural,agricultural_000018.png,0.81836635,0.12609851,0.8311496,0.12630114,0.8207025,0.12535869,5.9237366
agricultural,agricultural_000019.png,0.4220091,0.21882571,0.50664693,0.2351712,0.52143323,0.21590811,17.812134
agricultural,agricultural_000020.png,0.7550596,0.06489013,0.8097708,0.050105702,0.78005415,0.068489194,21.529129
agricultural,agricultural_000021.png,0.5481599,0.38867518,0.55295074,0.39204845,0.51815754,0.3708627,10.093933
agricultural,agricultural_000022.png,0.51638025,0.37837878,0.46403313,0.33932596,0.39661774,0.2909924,3.842392
agricultural,agricultural_000023.png,0.29949066,0.12012383,0.3313674,0.117617175,0.29670966,0.110636055,16.966293
agricultural,agricultural_000024.png,0.48213518,0.22373512,0.47805014,0.22076176,0.42808017,0.19965819,11.700653
agricultural,agricultural_000025.png,0.32637203,0.22715116,0.35396105,0.24452902,0.32952863,0.22555745,13.265472
agricultural,agricultural_000026.png,0.4065063,0.15139924,0.4183894,0.15992066,0.40788892,0.15194882,5.7078247
agricultural,agricultural_000027.png,0.65103644,0.16716152,0.53642696,0.12579869,0.5099429,0.12542245,-22.47197
agricultural,agricultural_000028.png,0.6643449,0.09065384,0.70329344,0.09859527,0.6319718,0.0955973,28.118912
agricultural,agricultural_000029.png,0.47724268,0.0786118,0.48899555,0.078408726,0.46526736,0.07304483,9.047668
agricultural,agricultural_000030.png,0.6587926,0.23786722,0.6654957,0.24019127,0.6483588,0.23337127,6.079193
agricultural,agricultural_000031.png,0.75215554,0.23431583,0.7626328,0.23696232,0.70008314,0.23034431,18.621857
agricultural,agricultural_000032.png,0.41609594,0.20781645,0.44473878,0.21669264,0.4207047,0.20898522,13.432617
agricultural,agricultural_000033.png,0.41760063,0.28768867,0.42517114,0.29237896,0.40188077,0.27740142,7.869522
agricultural,agricultural_000034.png,0.3780222,0.3026783,0.38775486,0.3107894,0.38944182,0.31057283,2.051651
agricultural,agricultural_000035.png,0.6928747,0.15771542,0.6937991,0.1541847,0.6611851,0.15925437,8.552261
agricultural,agricultural_000036.png,0.6453132,0.3301537,0.67945105,0.34615445,0.62115794,0.31861237,23.56987
agricultural,agricultural_000037.png,0.41538098,0.16240849,0.42527363,0.16669697,0.40527612,0.15610667,7.621994
agricultural,agricultural_000038.png,0.60146886,0.1966687,0.59126717,0.19298078,0.57501304,0.18901682,1.5433807
